participant,trial,response_time,group,trialOrder,correct,side,changeTrial,RTwoOutlier,phase
P27,1,2.188951969,DLD,1,0,left,0.0,2.188951969,implicit
P27,2,2.044434071,DLD,1,0,right,1.0,2.044434071,implicit
P27,3,1.868333101,DLD,1,1,right,0.0,1.868333101,implicit
P27,4,2.811274052,DLD,1,1,left,1.0,2.811274052,implicit
P27,5,3.06602788,DLD,1,1,left,0.0,3.06602788,implicit
P27,6,5.176866055,DLD,1,1,right,1.0,,implicit
P27,7,3.119224072,DLD,1,1,right,0.0,3.119224072,implicit
P27,8,2.607019901,DLD,1,1,left,1.0,2.607019901,implicit
P27,9,2.786305189,DLD,1,1,left,0.0,2.786305189,implicit
P27,10,2.378491879,DLD,1,1,right,1.0,2.378491879,implicit
P27,11,2.542459011,DLD,1,1,left,1.0,2.542459011,implicit
P27,12,2.014678001,DLD,1,1,right,1.0,2.014678001,implicit
P27,13,0.5671350956,DLD,1,1,right,0.0,,implicit
P27,14,2.558873892,DLD,1,1,left,1.0,2.558873892,implicit
P27,15,1.431853056,DLD,1,1,right,1.0,1.431853056,implicit
P27,16,2.350636005,DLD,1,1,right,0.0,2.350636005,implicit
P27,17,2.442496061,DLD,1,1,left,1.0,2.442496061,implicit
P27,18,2.168702126,DLD,1,0,left,0.0,2.168702126,implicit
P27,19,2.028034925,DLD,1,0,right,1.0,2.028034925,implicit
P27,20,2.913333893,DLD,1,1,left,1.0,2.913333893,implicit
P27,21,2.119313955,DLD,1,1,right,1.0,2.119313955,implicit
P27,22,2.512051106,DLD,1,1,left,1.0,2.512051106,implicit
P27,23,2.718496084,DLD,1,1,left,0.0,2.718496084,implicit
P27,24,2.296041012,DLD,1,1,right,1.0,2.296041012,implicit
P27,25,2.004428864,DLD,1,0,left,0.0,2.004428864,implicit
P27,26,2.389282942,DLD,1,1,right,1.0,2.389282942,implicit
P27,27,2.52877593,DLD,1,1,left,1.0,2.52877593,implicit
P27,28,2.968869925,DLD,1,1,left,0.0,2.968869925,implicit
P27,29,2.129602909,DLD,1,1,right,1.0,2.129602909,implicit
P27,30,2.650970936,DLD,1,1,right,0.0,2.650970936,implicit
P27,31,3.033080101,DLD,1,1,right,0.0,3.033080101,implicit
P27,32,2.593960047,DLD,1,1,left,1.0,2.593960047,implicit
P27,33,2.720290899,DLD,1,1,left,0.0,2.720290899,implicit
P27,34,2.560121059,DLD,1,1,right,1.0,2.560121059,implicit
P27,35,2.610692024,DLD,1,1,left,1.0,2.610692024,implicit
P27,36,2.514280796,DLD,1,1,right,1.0,2.514280796,implicit
P27,37,2.461099863,DLD,1,1,left,1.0,2.461099863,implicit
P27,38,2.84088707,DLD,1,1,right,1.0,2.84088707,implicit
P27,39,2.548088074,DLD,1,1,right,0.0,2.548088074,implicit
P27,40,3.012194872,DLD,1,1,left,1.0,3.012194872,implicit
P27,41,4.757575989,DLD,1,1,right,1.0,,implicit
P27,42,2.445764065,DLD,1,1,left,1.0,2.445764065,implicit
P27,43,2.787024975,DLD,1,1,left,0.0,2.787024975,implicit
P27,44,2.240979195,DLD,1,1,right,1.0,2.240979195,implicit
P27,45,2.514655113,DLD,1,1,left,1.0,2.514655113,implicit
P27,46,2.57850194,DLD,1,1,right,1.0,2.57850194,implicit
P27,47,2.035357952,DLD,1,1,right,0.0,2.035357952,implicit
P27,48,2.292121172,DLD,1,1,left,1.0,2.292121172,implicit
P30,1,3.168664217,TLD,1,1,left,0.0,3.168664217,implicit
P30,2,2.079955101,TLD,1,1,right,1.0,2.079955101,implicit
P30,3,2.235424995,TLD,1,1,right,0.0,2.235424995,implicit
P30,4,2.761380196,TLD,1,1,left,1.0,2.761380196,implicit
P30,5,2.663857937,TLD,1,1,left,0.0,2.663857937,implicit
P30,6,2.379137993,TLD,1,1,right,1.0,2.379137993,implicit
P30,7,2.248915911,TLD,1,1,right,0.0,2.248915911,implicit
P30,8,2.578914881,TLD,1,1,left,1.0,2.578914881,implicit
P30,9,3.066041946,TLD,1,1,left,0.0,3.066041946,implicit
