participant,trial,group,trialOrder,side,changeTrial,RTwoOutlier,soundDimension,soundfileNum,duration,pitch,response_time,correct,phase,RT_3x_std
P27,1,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,2.188951969,0,implicit,True
P27,2,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.044434071,0,implicit,True
P27,3,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,1.868333101,1,implicit,True
P27,4,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.811274052,1,implicit,True
P27,5,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,3.06602788,1,implicit,True
P27,6,DLD,1,right,1.0,False,pitch,6,0.9,3.125843199,5.176866055,1,implicit,True
P27,7,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,3.119224072,1,implicit,True
P27,8,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.607019901,1,implicit,True
P27,9,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,2.786305189,1,implicit,True
P27,10,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.378491879,1,implicit,True
P27,11,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.542459011,1,implicit,True
P27,12,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.014678001,1,implicit,True
P27,13,DLD,1,right,0.0,False,pitch,4,0.66,2.304593711,0.5671350956,1,implicit,True
P27,14,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.558873892,1,implicit,True
P27,15,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,1.431853056,1,implicit,True
P27,16,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,2.350636005,1,implicit,True
P27,17,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.442496061,1,implicit,True
P27,18,DLD,1,left,0.0,True,pitch,3,0.54,1.893968967,2.168702126,0,implicit,True
P27,19,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.028034925,0,implicit,True
P27,20,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.913333893,1,implicit,True
P27,21,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.119313955,1,implicit,True
P27,22,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.512051106,1,implicit,True
P27,23,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,2.718496084,1,implicit,True
P27,24,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.296041012,1,implicit,True
P27,25,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,2.004428864,0,implicit,True
P27,26,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.389282942,1,implicit,True
P27,27,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.52877593,1,implicit,True
P27,28,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,2.968869925,1,implicit,True
P27,29,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.129602909,1,implicit,True
P27,30,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,2.650970936,1,implicit,True
P27,31,DLD,1,right,0.0,True,pitch,6,0.9,3.125843199,3.033080101,1,implicit,True
P27,32,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.593960047,1,implicit,True
P27,33,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,2.720290899,1,implicit,True
P27,34,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.560121059,1,implicit,True
P27,35,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.610692024,1,implicit,True
P27,36,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.514280796,1,implicit,True
P27,37,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.461099863,1,implicit,True
P27,38,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.84088707,1,implicit,True
P27,39,DLD,1,right,0.0,True,pitch,6,0.9,3.125843199,2.548088074,1,implicit,True
P27,40,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,3.012194872,1,implicit,True
P27,41,DLD,1,right,1.0,False,pitch,5,0.78,2.715218455,4.757575989,1,implicit,True
P27,42,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.445764065,1,implicit,True
P27,43,DLD,1,left,0.0,True,pitch,3,0.54,1.893968967,2.787024975,1,implicit,True
P27,44,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.240979195,1,implicit,True
P27,45,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.514655113,1,implicit,True
P27,46,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.57850194,1,implicit,True
P27,47,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,2.035357952,1,implicit,True
P27,48,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.292121172,1,implicit,True
P100,1,DLD,5,right,0.0,False,pitch,5,0.78,2.715218455,7.535730124,1,implicit,True
P100,2,DLD,5,left,1.0,True,pitch,2,0.42,1.483344223,4.54531002,1,implicit,True
P100,3,DLD,5,left,0.0,True,pitch,1,0.3,1.07271948,4.71883297,1,implicit,True
P100,4,DLD,5,right,1.0,True,pitch,4,0.66,2.304593711,4.533302069,1,implicit,True
P100,5,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,4.246494055,1,implicit,True
P100,6,DLD,5,right,1.0,True,pitch,6,0.9,3.125843199,3.774365902,1,implicit,True
P100,7,DLD,5,left,1.0,True,pitch,1,0.3,1.07271948,2.479141951,1,implicit,True
P100,8,DLD,5,right,1.0,True,pitch,4,0.66,2.304593711,2.546409845,1,implicit,True
P100,9,DLD,5,right,0.0,True,pitch,5,0.78,2.715218455,2.252106905,1,implicit,True
P100,10,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,2.656346083,1,implicit,True
P100,11,DLD,5,left,0.0,True,pitch,2,0.42,1.483344223,2.551338196,1,implicit,True
P100,12,DLD,5,right,1.0,True,pitch,6,0.9,3.125843199,1.97852087,1,implicit,True
P100,13,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,2.247479916,1,implicit,True
P100,14,DLD,5,right,1.0,True,pitch,6,0.9,3.125843199,2.273658991,1,implicit,True
P100,15,DLD,5,left,1.0,True,pitch,2,0.42,1.483344223,2.429440022,1,implicit,True
P100,16,DLD,5,right,1.0,True,pitch,5,0.78,2.715218455,2.093612909,1,implicit,True
P100,17,DLD,5,right,0.0,True,pitch,4,0.66,2.304593711,2.16843605,1,implicit,True
P100,18,DLD,5,left,1.0,True,pitch,1,0.3,1.07271948,1.527313948,0,implicit,True
P100,19,DLD,5,left,0.0,True,pitch,1,0.3,1.07271948,3.48484683,1,implicit,True
P100,20,DLD,5,right,1.0,True,pitch,4,0.66,2.304593711,3.375521898,1,implicit,True
P100,21,DLD,5,right,0.0,True,pitch,6,0.9,3.125843199,2.46934104,0,implicit,True
P100,22,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,3.25675106,1,implicit,True
P100,23,DLD,5,right,1.0,True,pitch,5,0.78,2.715218455,2.212671041,1,implicit,True
P100,24,DLD,5,left,1.0,True,pitch,2,0.42,1.483344223,2.893746853,1,implicit,True
P100,25,DLD,5,right,0.0,True,pitch,4,0.66,2.304593711,2.286856174,1,implicit,True
P100,26,DLD,5,left,1.0,True,pitch,1,0.3,1.07271948,2.344171047,1,implicit,True
P100,27,DLD,5,right,1.0,True,pitch,6,0.9,3.125843199,2.081125975,1,implicit,True
P100,28,DLD,5,right,0.0,True,pitch,5,0.78,2.715218455,2.018399954,0,implicit,True
P100,29,DLD,5,left,1.0,True,pitch,2,0.42,1.483344223,4.28887701,1,implicit,True
P100,30,DLD,5,left,0.0,True,pitch,3,0.54,1.893968967,3.002411127,1,implicit,True
P100,31,DLD,5,right,1.0,True,pitch,6,0.9,3.125843199,1.995717049,1,implicit,True
P100,32,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,4.142039061,1,implicit,True
P100,33,DLD,5,right,1.0,True,pitch,4,0.66,2.304593711,2.978061914,1,implicit,True
P100,34,DLD,5,left,1.0,True,pitch,2,0.42,1.483344223,2.797631025,1,implicit,True
P100,35,DLD,5,left,0.0,True,pitch,1,0.3,1.07271948,2.6316998,1,implicit,True
P100,36,DLD,5,right,1.0,True,pitch,5,0.78,2.715218455,2.294165134,0,implicit,True
P100,37,DLD,5,left,1.0,True,pitch,2,0.42,1.483344223,2.928533077,1,implicit,True
P100,38,DLD,5,right,1.0,True,pitch,5,0.78,2.715218455,2.012310982,1,implicit,True
P100,39,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,2.491678,1,implicit,True
P100,40,DLD,5,left,0.0,True,pitch,1,0.3,1.07271948,2.369019032,0,implicit,True
P100,41,DLD,5,right,1.0,True,pitch,6,0.9,3.125843199,3.02738595,1,implicit,True
P100,42,DLD,5,right,0.0,True,pitch,4,0.66,2.304593711,3.550417185,1,implicit,True
P100,43,DLD,5,right,0.0,True,pitch,6,0.9,3.125843199,5.064075947,1,implicit,True
P100,44,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,3.978240013,1,implicit,True
P100,45,DLD,5,left,0.0,True,pitch,2,0.42,1.483344223,4.597206116,1,implicit,True
P100,46,DLD,5,right,1.0,True,pitch,4,0.66,2.304593711,2.677250862,1,implicit,True
P100,47,DLD,5,left,1.0,True,pitch,1,0.3,1.07271948,3.398539066,1,implicit,True
P100,48,DLD,5,right,1.0,True,pitch,5,0.78,2.715218455,3.626791954,1,implicit,True
P62,1,DLD,5,right,0.0,True,pitch,5,0.78,2.715218455,3.263264179,1,implicit,True
P62,2,DLD,5,left,1.0,True,pitch,2,0.42,1.483344223,2.813205957,1,implicit,True
P62,3,DLD,5,left,0.0,True,pitch,1,0.3,1.07271948,2.964492083,1,implicit,True
P62,4,DLD,5,right,1.0,True,pitch,4,0.66,2.304593711,3.009752989,1,implicit,True
P62,5,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,2.596860886,1,implicit,True
P62,6,DLD,5,right,1.0,True,pitch,6,0.9,3.125843199,2.412294149,1,implicit,True
P62,7,DLD,5,left,1.0,True,pitch,1,0.3,1.07271948,2.991844893,1,implicit,True
