index,phase,block,Sound1_preAndPosttest,Sound2_preAndPosttest,category,side,changeTrial,alternationTargetExpectation,SoundAndAlternationConvergence,soundfileNum,duration,pitch,blockOrig,trial,discrimStim.thisTrialN,discrimStim.thisIndex,key_resp_14.keys,pretestCorr,pretestDistance,key_resp_14.rt,resp_1.keys,resp_1.corr,responseAlternation.corr,resp_1.rt,mean,SD,RTwoOutlier,LowOutlier,HighOutlier,anticipationThreshold,additiveAgeRTCorrection,ageCorrection5yrs,anticipated,anticipated5,key_resp_20.keys,key_resp_20.corr,categoryDecision,key_resp_20.rt,participant,group,sex,demographicInfo,soundDimension,trialOrder
1,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_4.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,D,,,,,,,,,,0,3,d,1,3,10.11318707,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
2,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_2.wav,D,,,,,,,,,,1,1,s,0,1,6.965749979,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
3,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,D,,,,,,,,,,2,6,d,1,5,9.010007858,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
4,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_4.wav,D,,,,,,,,,,3,9,s,0,2,8.060459137,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
5,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_3.wav,D,,,,,,,,,,4,2,s,0,2,6.022773981,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
6,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,D,,,,,,,,,,5,5,d,1,5,29.8369,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
7,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,S,,,,,,,,,,6,0,s,1,0,6.011929989,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
8,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_3.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,D,,,,,,,,,,7,8,s,0,3,5.497639179,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
9,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,S,,,,,,,,,,8,11,s,1,0,5.412558079,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
10,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_2.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,D,,,,,,,,,,9,7,d,1,4,6.594262838,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
11,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_5.wav,D,,,,,,,,,,10,10,s,0,1,6.866901159,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
12,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_5.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,D,,,,,,,,,,11,4,d,1,4,5.779578924,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
13,,,,,,,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
14,taskTrain,1,,,,left,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
15,taskTrain,1,,,,right,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
16,taskTrain,1,,,,right,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
17,taskTrain,1,,,,left,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
18,,,,,,,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
19,implicitTraining,1,,,,left,0,,,1,0.3,1.07271948,1,1,,,,,,,right,0,,2.188951969,2.634108613,0.530028056,2.188951969,2.188951969,2.188951969,1.8,0.74,0.58,1,1,,,,,P27,DLD,m,1547,pitch,1
20,implicitTraining,1,,,,right,1,right,converge,4,0.66,2.304593711,1,2,,,,,,,left,0,0,2.044434071,2.634108613,0.530028056,2.044434071,2.044434071,2.044434071,1.383,0.74,0.58,1,0,,,,,P27,DLD,m,1547,pitch,1
21,implicitTraining,1,,,,right,0,left,conflict,5,0.78,2.715218455,1,3,,,,,,,right,1,0,1.868333101,2.634108613,0.530028056,1.868333101,1.868333101,1.868333101,1.383,0.74,0.58,1,1,,,,,P27,DLD,m,1547,pitch,1
22,implicitTraining,1,,,,left,1,left,converge,3,0.54,1.893968967,1,4,,,,,,,left,1,1,2.811274052,2.634108613,0.530028056,2.811274052,2.811274052,2.811274052,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
