participant,trial,group,trialOrder,side,changeTrial,RTwoOutlier,soundDimension,soundfileNum,duration,pitch,response_time,correct,phase,RT_3x_std,sum_changetrial_window,sound_label_original,sound_code_original,sound_high_low,sound_label,sound_code
P100,49,DLD,5,right,0.0,False,pitch,5,0.78,2.715218455,5.330848932,0,explicit,True,,pitch_5,10,high,pitch_high,2
P100,50,DLD,5,left,1.0,False,pitch,2,0.42,1.483344223,5.512462139,1,explicit,True,,pitch_2,7,low,pitch_low,3
P100,51,DLD,5,left,0.0,False,pitch,1,0.3,1.07271948,2.898402214,0,explicit,True,,pitch_1,6,low,pitch_low,3
P100,52,DLD,5,right,1.0,False,pitch,4,0.66,2.304593711,3.398437023,1,explicit,True,,pitch_4,9,high,pitch_high,2
P100,53,DLD,5,left,1.0,False,pitch,3,0.54,1.893968967,2.380028009,1,explicit,True,,pitch_3,8,low,pitch_low,3
P100,54,DLD,5,right,1.0,False,pitch,6,0.9,3.125843199,1.963629007,1,explicit,True,,pitch_6,11,high,pitch_high,2
P100,55,DLD,5,left,1.0,False,pitch,1,0.3,1.07271948,1.263525963,1,explicit,True,2.0,pitch_1,6,low,pitch_low,3
P100,56,DLD,5,right,1.0,False,pitch,4,0.66,2.304593711,1.797314882,1,explicit,True,3.0,pitch_4,9,high,pitch_high,2
P100,57,DLD,5,right,0.0,False,pitch,5,0.78,2.715218455,2.097533941,0,explicit,True,3.0,pitch_5,10,high,pitch_high,2
P100,58,DLD,5,left,1.0,False,pitch,3,0.54,1.893968967,2.082644939,1,explicit,True,4.0,pitch_3,8,low,pitch_low,3
P100,59,DLD,5,left,0.0,False,pitch,2,0.42,1.483344223,1.862890959,1,explicit,True,4.0,pitch_2,7,low,pitch_low,3
P100,60,DLD,5,right,1.0,False,pitch,6,0.9,3.125843199,2.683516026,1,explicit,True,3.0,pitch_6,11,high,pitch_high,2
P100,61,DLD,5,left,1.0,False,pitch,3,0.54,1.893968967,3.39658308,1,explicit,True,3.0,pitch_3,8,low,pitch_low,3
P100,62,DLD,5,right,1.0,False,pitch,6,0.9,3.125843199,1.814598084,1,explicit,True,2.0,pitch_6,11,high,pitch_high,2
P100,63,DLD,5,left,1.0,False,pitch,2,0.42,1.483344223,1.032570839,1,explicit,True,2.0,pitch_2,7,low,pitch_low,3
P100,64,DLD,5,right,1.0,False,pitch,5,0.78,2.715218455,0.9993100166,1,explicit,True,3.0,pitch_5,10,high,pitch_high,2
P100,65,DLD,5,right,0.0,False,pitch,4,0.66,2.304593711,1.999224186,0,explicit,True,3.0,pitch_4,9,high,pitch_high,2
P100,66,DLD,5,left,1.0,False,pitch,1,0.3,1.07271948,3.099232912,1,explicit,True,4.0,pitch_1,6,low,pitch_low,3
P100,67,DLD,5,left,0.0,False,pitch,1,0.3,1.07271948,2.431583166,1,explicit,True,4.0,pitch_1,6,low,pitch_low,3
P100,68,DLD,5,right,1.0,False,pitch,4,0.66,2.304593711,1.18126893,1,explicit,True,3.0,pitch_4,9,high,pitch_high,2
P100,69,DLD,5,right,0.0,False,pitch,6,0.9,3.125843199,0.8654558659,1,explicit,True,3.0,pitch_6,11,high,pitch_high,2
P100,70,DLD,5,left,1.0,False,pitch,3,0.54,1.893968967,3.428598166,0,explicit,True,2.0,pitch_3,8,low,pitch_low,3
P100,71,DLD,5,right,1.0,False,pitch,5,0.78,2.715218455,3.047214985,1,explicit,True,2.0,pitch_5,10,high,pitch_high,2
P100,72,DLD,5,left,1.0,False,pitch,2,0.42,1.483344223,4.080960035,1,explicit,True,2.0,pitch_2,7,low,pitch_low,3
P103,49,DLD,6,right,0.0,True,duration,6,0.9,3.125843199,7.08196187,1,explicit,True,,duration_6,5,high,duration_high,0
P103,50,DLD,6,left,1.0,True,duration,3,0.54,1.893968967,2.950271845,1,explicit,True,,duration_3,2,low,duration_low,1
P103,51,DLD,6,left,0.0,True,duration,2,0.42,1.483344223,1.382029057,0,explicit,True,,duration_2,1,low,duration_low,1
P103,52,DLD,6,right,1.0,True,duration,4,0.66,2.304593711,2.916017056,1,explicit,True,,duration_4,3,high,duration_high,0
P103,53,DLD,6,left,1.0,True,duration,1,0.3,1.07271948,10.21162796,1,explicit,True,,duration_1,0,low,duration_low,1
P103,54,DLD,6,right,1.0,True,duration,5,0.78,2.715218455,9.87848115,0,explicit,True,,duration_5,4,high,duration_high,0
P103,55,DLD,6,left,1.0,True,duration,1,0.3,1.07271948,3.779913902,1,explicit,True,2.0,duration_1,0,low,duration_low,1
P103,56,DLD,6,right,1.0,True,duration,4,0.66,2.304593711,3.616129875,1,explicit,True,3.0,duration_4,3,high,duration_high,0
P103,57,DLD,6,right,0.0,True,duration,5,0.78,2.715218455,6.197232008,0,explicit,True,3.0,duration_5,4,high,duration_high,0
P103,58,DLD,6,left,1.0,True,duration,3,0.54,1.893968967,4.012968063,1,explicit,True,4.0,duration_3,2,low,duration_low,1
P103,59,DLD,6,left,0.0,True,duration,2,0.42,1.483344223,2.563812017,0,explicit,True,4.0,duration_2,1,low,duration_low,1
P103,60,DLD,6,right,1.0,True,duration,6,0.9,3.125843199,3.54995513,1,explicit,True,3.0,duration_6,5,high,duration_high,0
P103,61,DLD,6,right,0.0,True,duration,4,0.66,2.304593711,2.996577024,0,explicit,True,3.0,duration_4,3,high,duration_high,0
P103,62,DLD,6,left,1.0,True,duration,1,0.3,1.07271948,4.029774904,0,explicit,True,2.0,duration_1,0,low,duration_low,1
P103,63,DLD,6,right,1.0,True,duration,6,0.9,3.125843199,1.914530039,1,explicit,True,2.0,duration_6,5,high,duration_high,0
P103,64,DLD,6,right,0.0,True,duration,5,0.78,2.715218455,4.162701845,1,explicit,True,2.0,duration_5,4,high,duration_high,0
P103,65,DLD,6,left,1.0,True,duration,2,0.42,1.483344223,2.365982056,1,explicit,True,2.0,duration_2,1,low,duration_low,1
P103,66,DLD,6,left,0.0,True,duration,3,0.54,1.893968967,3.831302166,1,explicit,True,3.0,duration_3,2,low,duration_low,1
P103,67,DLD,6,left,0.0,True,duration,3,0.54,1.893968967,4.845715046,0,explicit,True,2.0,duration_3,2,low,duration_low,1
P103,68,DLD,6,right,1.0,True,duration,6,0.9,3.125843199,3.379365921,0,explicit,True,3.0,duration_6,5,high,duration_high,0
P103,69,DLD,6,left,1.0,True,duration,2,0.42,1.483344223,2.647662878,0,explicit,True,2.0,duration_2,1,low,duration_low,1
P103,70,DLD,6,right,1.0,True,duration,5,0.78,2.715218455,5.113701105,0,explicit,True,1.0,duration_5,4,high,duration_high,0
P103,71,DLD,6,right,0.0,True,duration,4,0.66,2.304593711,3.013304949,1,explicit,True,2.0,duration_4,3,high,duration_high,0
P103,72,DLD,6,left,1.0,True,duration,1,0.3,1.07271948,1.615127087,1,explicit,True,2.0,duration_1,0,low,duration_low,1
P104,49,DLD,4,right,0.0,False,duration,4,0.66,2.304593711,5.453462124,0,explicit,True,,duration_4,3,high,duration_high,0
P104,50,DLD,4,left,1.0,False,duration,1,0.3,1.07271948,7.694068909,0,explicit,True,,duration_1,0,low,duration_low,1
P104,51,DLD,4,right,1.0,False,duration,6,0.9,3.125843199,6.445676804,1,explicit,True,,duration_6,5,high,duration_high,0
P104,52,DLD,4,right,0.0,False,duration,5,0.78,2.715218455,4.462007999,0,explicit,True,,duration_5,4,high,duration_high,0
P104,53,DLD,4,left,1.0,False,duration,2,0.42,1.483344223,8.794137001,1,explicit,True,,duration_2,1,low,duration_low,1
P104,54,DLD,4,left,0.0,False,duration,3,0.54,1.893968967,3.529816151,1,explicit,True,,duration_3,2,low,duration_low,1
P104,55,DLD,4,right,1.0,False,duration,6,0.9,3.125843199,5.1807971,1,explicit,True,2.0,duration_6,5,high,duration_high,0
P104,56,DLD,4,left,1.0,False,duration,3,0.54,1.893968967,2.298198938,0,explicit,True,3.0,duration_3,2,low,duration_low,1
P104,57,DLD,4,right,1.0,False,duration,4,0.66,2.304593711,8.928617954,0,explicit,True,2.0,duration_4,3,high,duration_high,0
P104,58,DLD,4,left,1.0,False,duration,2,0.42,1.483344223,5.581663847,0,explicit,True,2.0,duration_2,1,low,duration_low,1
P104,59,DLD,4,left,0.0,False,duration,1,0.3,1.07271948,6.680366039,0,explicit,True,3.0,duration_1,0,low,duration_low,1
P104,60,DLD,4,right,1.0,False,duration,5,0.78,2.715218455,4.41386199,1,explicit,True,3.0,duration_5,4,high,duration_high,0
P104,61,DLD,4,right,0.0,False,duration,5,0.78,2.715218455,4.713661909,1,explicit,True,4.0,duration_5,4,high,duration_high,0
P104,62,DLD,4,left,1.0,False,duration,2,0.42,1.483344223,3.047772884,1,explicit,True,3.0,duration_2,1,low,duration_low,1
P104,63,DLD,4,left,0.0,False,duration,1,0.3,1.07271948,2.281555176,1,explicit,True,3.0,duration_1,0,low,duration_low,1
P104,64,DLD,4,right,1.0,False,duration,4,0.66,2.304593711,5.012597084,1,explicit,True,2.0,duration_4,3,high,duration_high,0
P104,65,DLD,4,left,1.0,False,duration,3,0.54,1.893968967,1.43200016,0,explicit,True,2.0,duration_3,2,low,duration_low,1
P104,66,DLD,4,right,1.0,False,duration,6,0.9,3.125843199,3.513288021,1,explicit,True,2.0,duration_6,5,high,duration_high,0
P104,67,DLD,4,left,1.0,False,duration,2,0.42,1.483344223,1.781750917,1,explicit,True,2.0,duration_2,1,low,duration_low,1
P104,68,DLD,4,right,1.0,False,duration,5,0.78,2.715218455,2.263275146,1,explicit,True,3.0,duration_5,4,high,duration_high,0
P104,69,DLD,4,left,1.0,False,duration,3,0.54,1.893968967,6.828335047,1,explicit,True,3.0,duration_3,2,low,duration_low,1
P104,70,DLD,4,left,0.0,False,duration,1,0.3,1.07271948,2.847296953,0,explicit,True,4.0,duration_1,0,low,duration_low,1
P104,71,DLD,4,right,1.0,False,duration,6,0.9,3.125843199,4.565039158,1,explicit,True,4.0,duration_6,5,high,duration_high,0
P104,72,DLD,4,right,0.0,False,duration,4,0.66,2.304593711,3.215500116,1,explicit,True,4.0,duration_4,3,high,duration_high,0
P105,49,DLD,5,right,0.0,True,duration,5,0.78,2.715218455,12.16587114,0,explicit,True,,duration_5,4,high,duration_high,0
P105,50,DLD,5,left,1.0,True,duration,2,0.42,1.483344223,8.962071896,0,explicit,True,,duration_2,1,low,duration_low,1
P105,51,DLD,5,left,0.0,True,duration,1,0.3,1.07271948,14.84254789,0,explicit,True,,duration_1,0,low,duration_low,1
P105,52,DLD,5,right,1.0,True,duration,4,0.66,2.304593711,6.797626972,1,explicit,True,,duration_4,3,high,duration_high,0
P105,53,DLD,5,left,1.0,True,duration,3,0.54,1.893968967,9.113451004,1,explicit,True,,duration_3,2,low,duration_low,1
